0.0	44	616	26
1.0	34	20	23
4.0	34	38	23
5.0	34	62	23
6.0	32	88	29
7.0	34	170	29
8.0	38	278	26
9.0	40	422	26
10.0	46	602	26
11.0	34	20	23
14.0	34	32	23
15.0	32	58	20
16.0	38	86	27
17.0	34	146	26
18.0	38	262	27
19.0	40	410	26
20.0	46	590	29
21.0	32	10	20
22.0	32	10	23
23.0	32	22	23
24.0	34	34	23
25.0	34	52	23
26.0	32	82	29
27.0	40	146	27
28.0	40	250	29
29.0	40	392	23
30.0	44	574	29
31.0	34	22	20
34.0	32	34	20
35.0	38	50	23
36.0	38	80	27
37.0	40	140	32
38.0	38	236	29
39.0	44	374	23
40.0	46	554	32
41.0	32	10	20
42.0	32	14	23
43.0	34	22	20
44.0	32	26	23
45.0	34	52	23
46.0	34	80	23
47.0	38	130	27
48.0	34	230	30
49.0	40	362	26
50.1	32	14	23
54.1	32	26	23
55.1	32	50	23
56.1	38	70	23
57.1	32	124	29
58.1	40	212	32
59.1	44	346	26
60.1	50	512	23
61.1	32	22	23
65.1	38	46	20
66.1	34	58	26
67.1	38	112	29
68.1	34	212	26
69.1	38	328	26
70.1	44	494	26
71.1	50	692	29
72.1	32	10	23
74.1	38	26	23
75.1	32	38	26
76.1	38	58	23
77.1	34	104	29
78.1	38	202	25
79.1	40	314	29
80.1	44	472	26
81.1	46	674	29
82.1	34	20	20
84.1	32	26	23
85.1	32	38	23
86.1	34	62	23
87.1	38	104	28
88.1	32	182	32
89.1	38	298	27
90.1	38	446	30
91.1	46	662	26
92.1	32	22	23
95.1	32	34	26
96.1	38	56	23
97.1	34	98	29
98.1	32	170	33
99.1	38	280	26
100.1	40	424	26
101.1	44	616	29
102.1	34	16	20
104.1	38	16	20
105.1	34	38	26
106.1	32	58	23
107.1	38	88	26
108.1	32	158	33
109.1	40	268	23
110.1	44	410	26
111.1	44	592	29
112.1	34	26	20
115.1	34	32	23
116.1	32	56	23
117.1	34	80	27
118.1	34	140	23
119.1	38	256	26
120.1	44	394	26
121.1	50	574	26
122.1	34	16	20
124.1	34	26	23
125.1	32	26	23
126.1	34	52	23
127.1	38	74	26
128.1	32	140	32
129.1	38	238	27
130.1	46	376	20
131.1	44	554	30
132.1	32	20	20
135.1	32	34	20
136.1	38	44	23
137.1	34	70	26
138.1	38	124	29
139.1	40	226	29
140.1	46	358	29
141.1	46	526	29
142.1	32	16	20
145.1	34	28	23
146.1	34	44	23
147.1	34	70	26
148.1	32	122	29
149.1	38	212	29
150.2	38	346	23
151.2	44	512	29
152.2	32	22	23
156.2	34	44	23
